新课程序号,课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
CEC121001,5000033001001,英语公共演讲,3,,王欢,03106,,公共基础课,英语,四平路校区,2025(美国石溪大学FLY项目 90101),0,1,16,王欢(03106) 星期一5-7节 [1-16] 沪北校区泰禾楼606
CEC121101,5000033001101,生态与文化,3,,陈静,11127,,公共基础课,英语,四平路校区,2025(美国石溪大学FLY项目 90101),0,1,16,陈静(11127) 星期三5-7节 [1-16] 沪北校区泰禾楼606
IVE000902,5000034000402,德国文化与教育,2,,鄢彩玲,21106,,社会发展与国际视野,中文,嘉定校区,,5,1,16,鄢彩玲(21106) 星期三9-10节 [1-16] 安楼A302
IVE280701,WF5000034001501,教学设计,2,,王路炯,00020,,必修课程,中文,四平路校区,2024( WF00003401),0,1,16,王路炯(00020) 星期五5-6节 [1-16] 线上课堂
LIB130102,34001002,文献检索,2,,张轶群,89861,,专业基础课,中文,四平路校区,"2024(口腔医学 14025),2024(口腔医学“5+3”一体化拔尖创新实验班 14201)",60,1,8,张轶群(89861) 星期三1-4节 [1-8] 南111
LIB130101,34001001,文献检索,2,,王爽快,24054,,专业基础课,中文,沪西校区,"2024(医学试验班(国豪精英班) 09007),2024(基础医学 14060),2024(临床医学(中德实验班) 14061),2024(临床医学(领军人才培养) 14065)",69,1,8,王爽快(24054) 星期四5-8节 [1-8] 学校机房414(沪西)
LIB000105,34001205,科技文献检索与利用,2,,刘玉红,07054,,通识选修课,中文,嘉定校区,,6,1,16,刘玉红(07054) 星期四9-10节 [1-16] 安楼A110
LIB000104,34001204,科技文献检索与利用,2,,"李华,朱梦皎","13060,17076",",",通识选修课,中文,四平路校区,,8,1,16,朱梦皎(17076) 星期三7-8节 [1-8] 北216 李华(13060) 星期三7-8节 [9-16] 北216
LIB000103,34001203,科技文献检索与利用,2,,邬宁芬,03061,,通识选修课,中文,四平路校区,,0,1,16,邬宁芬(03061) 星期四7-8节 [1-16] 北215
LIB000102,34001202,科技文献检索与利用,2,,刘玉红,07054,,通识选修课,中文,嘉定校区,,21,1,16,刘玉红(07054) 星期一7-8节 [1-16] 安楼A112
LIB000101,34001201,科技文献检索与利用,2,,邬宁芬,03061,,通识选修课,中文,四平路校区,,2,1,16,邬宁芬(03061) 星期一7-8节 [1-16] 北215
ISC120201,13003301,中国概况,2,,"宗骞,李钰倩,张林华,孙宜学","16152,18056,18070,98078",",,,",公共基础课,中文,四平路校区,2025(留学生班 13012),0,1,16,孙宜学(98078) 星期二9-10节 [15] 南校区二教312教室 李钰倩(18056) 星期二9-10节 [11-13] 南校区二教312教室 张林华(18070) 星期二9-10节 [7-10] 南校区二教312教室 宗骞(16152) 星期二9-10节 [1-6 14-16双] 南校区二教312教室
ISC110101,13010101,中国概论（英）,2,,程妤,08035,,通识必修课,中文,四平路校区,"2025(建筑学(国际班) 02002),2025(土木工程(国际班) 03074),2025(临床医学(MBBS) 14001)",57,1,16,程妤(08035) 星期四1-2节 [1-16] 南301
ISC150101,13010201,中国历史与文化（中外）,2,,张占山,06101,,社会发展与国际视野,中文,四平路校区,,9,1,16,张占山(06101) 星期三9-10节 [1-16] 南218
