新课程序号,课程名称,课程性质,校区,排课信息
CEC121001,英语公共演讲,公共基础课,四平路校区,王欢(03106) 星期一5-7节 [1-16] 沪北校区泰禾楼606
CEC121101,生态与文化,公共基础课,四平路校区,陈静(11127) 星期三5-7节 [1-16] 沪北校区泰禾楼606
IVE000902,德国文化与教育,社会发展与国际视野,嘉定校区,鄢彩玲(21106) 星期三9-10节 [1-16] 安楼A302
IVE280701,教学设计,必修课程,四平路校区,王路炯(00020) 星期五5-6节 [1-16] 线上课堂
LIB130102,文献检索,专业基础课,四平路校区,张轶群(89861) 星期三1-4节 [1-8] 南111
LIB130101,文献检索,专业基础课,沪西校区,王爽快(24054) 星期四5-8节 [1-8] 学校机房414(沪西)
LIB000105,科技文献检索与利用,通识选修课,嘉定校区,刘玉红(07054) 星期四9-10节 [1-16] 安楼A110
LIB000104,科技文献检索与利用,通识选修课,四平路校区,朱梦皎(17076) 星期三7-8节 [1-8] 北216 李华(13060) 星期三7-8节 [9-16] 北216
LIB000103,科技文献检索与利用,通识选修课,四平路校区,邬宁芬(03061) 星期四7-8节 [1-16] 北215
LIB000102,科技文献检索与利用,通识选修课,嘉定校区,刘玉红(07054) 星期一7-8节 [1-16] 安楼A112
LIB000101,科技文献检索与利用,通识选修课,四平路校区,邬宁芬(03061) 星期一7-8节 [1-16] 北215
ISC120201,中国概况,公共基础课,四平路校区,孙宜学(98078) 星期二9-10节 [15] 南校区二教312教室 李钰倩(18056) 星期二9-10节 [11-13] 南校区二教312教室 张林华(18070) 星期二9-10节 [7-10] 南校区二教312教室 宗骞(16152) 星期二9-10节 [1-6 14-16双] 南校区二教312教室
ISC110101,中国概论（英）,通识必修课,四平路校区,程妤(08035) 星期四1-2节 [1-16] 南301
ISC150101,中国历史与文化（中外）,社会发展与国际视野,四平路校区,张占山(06101) 星期三9-10节 [1-16] 南218
ISC000101,中国社会与文化,社会发展与国际视野,四平路校区,张占山(06101) 星期四9-10节 [1-16] 南218
ISC310201,初级中文,通识必修课,四平路校区,顾春燕(1905054) 星期一9-11节 [1-16] 南216 顾春燕(1905054) 星期三9-11节 [1-16] 南216
ISC131501,初级读写(2),专业基础课,四平路校区,张占山(06101) 星期三1-2节 [1-16] 南411
ISC131502,初级读写(2),专业基础课,四平路校区,张占山(06101) 星期四1-2节 [1-16] 南415
ISC330601,高级汉语(2),专业基础课,四平路校区,潘海峰(11115) 星期三1-4节 [1-16] 南421 潘海峰(11115) 星期四3-4节 [1-16] 南421
ISC332301,高级写作(2),专业基础课,四平路校区,许歆媛(16010) 星期一1-2节 [1-16] 南校区二教213
ISC231701,中级泛读(2),专业基础课,四平路校区,凌璧君(06100) 星期三1-2节 [1-16] 南410
ISC231301,中级听和说(2),专业基础课,四平路校区,凌璧君(06100) 星期四3-4节 [1-16] 南122
ISC231901,中级写作(2),专业基础课,四平路校区,陈晨(22202) 星期四5-6节 [1-16] 南420
ISC340801,汉语词汇概述,专业选修课,四平路校区,侯文玉(03173) 星期二3-4节 [1-16] 南122
ISC210201,中国简史,通识必修课,四平路校区,孙宜学(98078) 星期四1-2节 [3-4] 南122 王琼(11116) 星期四1-2节 [1-2 5-16] 南122
ISC130901,初级会话(2),专业基础课,四平路校区,黄亚欣(22196) 星期一1-2节 [1-16] 南411
ISC130902,初级会话(2),专业基础课,四平路校区,罗顺(23090) 星期一1-2节 [1-16] 南414
ISC131101,初级听力(2),专业基础课,四平路校区,许歆媛(16010) 星期一3-4节 [1-16] 南418
ISC131102,初级听力(2),专业基础课,四平路校区,姚伟嘉(16065) 星期一3-4节 [1-16] 南409
ISC351101,教育心理学概论,专业选修课,四平路校区,凌璧君(06100) 星期四1-2节 [1-16] 南校区二教213
ISC210301,《中国文化》,通识必修课,四平路校区,陈晨(22202) 星期三7-8节 [1-16] 南414
ISC350901,中国现当代文学（汉语言）,专业选修课,四平路校区,王琼(11116) 星期一3-4节 [1-16] 南校区二教213
ISC341001,语言与文化（汉语言）,专业必修课,四平路校区,李挺(13010) 星期一7-8节 [1-16] 北108
ISC160101,普通话语音训练,实践环节课程,四平路校区,许歆媛(16010) 星期三5-6节 [1-16] 南220
ISC460701,毕业论文（汉语言）,实践环节课程,四平路校区,李海燕(11113) 星期六1-2节 [1-16] 南校区二教213
ISC120402,专业汉语（下）,公共基础课,四平路校区,李海燕(11113) 星期三3-6节 [1-16] 南校区二教312教室 李海燕(11113) 星期四5-6节 [1-16] 南校区二教312教室
ISC120401,专业汉语（下）,通识必修课,四平路校区,郑婕(11111) 星期三1-2节 [1-16] 北313 赵莹(13008) 星期四7-10节 [1-16] 北313
ISC332101,商务写作（2）,专业基础课,四平路校区,凌璧君(06100) 星期三5-6节 [1-16] 北319
ISC460501,表达训练,实践环节课程,四平路校区,李挺(13010) 星期三5-6节 [1-16] 南310
ISC350501,跨文化交际案例分析,专业选修课,四平路校区,侯文玉(03173) 星期二1-2节 [1-16] 南122
ISC460401,国际学生职业素养,实践环节课程,四平路校区,许歆媛(16010) 星期三3-4节 [1-16] 南307
ISC340301,经贸口语（2）,专业必修课,四平路校区,侯文玉(03173) 星期一3-4节 [1-16] 南115
ISC130201,初级汉语（2）,专业基础课,四平路校区,李挺(13010) 星期一5-6节 [1-16] 南411 李挺(13010) 星期二1-4节 [1-16] 南411 李挺(13010) 星期三3-4节 [1-16] 南411
ISC130202,初级汉语（2）,专业基础课,四平路校区,王琼(11116) 星期一5-6节 [1-16] 南416 王琼(11116) 星期二1-4节 [1-16] 南416 王琼(11116) 星期三3-4节 [1-16] 南416
ISC230401,中级汉语（2）,专业基础课,四平路校区,夏雪飞(11117) 星期一3-4节 [1-16] 南414 夏雪飞(11117) 星期二3-4节 [1-16] 南414 夏雪飞(11117) 星期三3-6节 [1-16] 南414
ISC260201,HSK应试辅导,实践环节课程,四平路校区,侯文玉(03173) 星期一5-7节 [1-16] 北222
ISC120101,人工智能科学与技术（人文科学类）,公共基础课,四平路校区,梁毅军(93128) 星期四3-4节 [6 16] 南211 姚伟嘉(16065) 星期四3-4节 [1-5 7-15] 南211
TWC000101,形体训练,人文经典与审美素养,四平路校区,别蓁蓁(01095) 星期三9-10节 [1-16] 南校区三教209
,人力资源管理与女性职业生涯规划,社会发展与国际视野,四平路校区,彭贤杰(02109) 星期三7-8节 [1-16] 北207
TWC000301,自我认知与人际沟通,社会发展与国际视野,四平路校区,樊秀娣(86068) 星期三7-8节 [1-16] 北209
,古琴入门,人文经典与审美素养,四平路校区,倪羽朦(1700509) 星期一7-8节 [2-16] 艺术传媒学院322教室 倪诗韵(1700508) 星期一7-8节 [1] 艺术传媒学院322教室
TWC000401,卓越女性成长,社会发展与国际视野,四平路校区,于一凡(96016) 星期四7-8节 [10-12] 北216 李岩(03104) 星期四7-8节 [15-16] 北216 颜琼枝(2000512) 星期四7-8节 [7-8] 北216 徐红(92156) 星期四7-8节 [2 5] 北216 何敏娟(88055) 星期四7-8节 [4 14] 北216 肖辉(92193) 星期四7-8节 [6 13] 北216 马锦明(95013) 星期四7-8节 [1-3单 9] 北216
TWC000501,国乐艺术赏析——古筝演奏中级,人文经典与审美素养,四平路校区,陈珏(03121) 星期一7-8节 [1-16] 南校区三教206
CDH340201,企业经济学与质量管理,专业必修课,嘉定校区,王继平(93161) 星期二3-4节 [1-16] 广楼G109
CDH130203,德语（二）,专业基础课,四平路校区,黎东方(97029) 星期一5-8节 [1-16] 南114 黎东方(97029) 星期四5-10节 [1-16] 南114 黎东方(97029) 星期五5-8节 [1-16] 南114
CDH130202,德语（二）,专业基础课,四平路校区,RABENECK SOREN(2300081) 星期一5-8节 [1-16] 北316 RABENECK SOREN(2300081) 星期四5-10节 [1-16] 北316 RABENECK SOREN(2300081) 星期五5-8节 [1-16] 北316
CDH130201,德语（二）,专业基础课,四平路校区,俞宙明(01063) 星期一5-8节 [1-16] 南117 曾移红(12666035) 星期四5-10节 [1-16] 南117 曾移红(12666035) 星期五5-8节 [1-16] 南117
CDH130206,德语（二）,专业基础课,四平路校区,葛彦之(00079) 星期一5-8节 [1-16] 北322 葛彦之(00079) 星期四5-10节 [1-16] 北322 葛彦之(00079) 星期五5-8节 [1-16] 北322
CDH130205,德语（二）,专业基础课,四平路校区,徐琴(96023) 星期一5-8节 [1-16] 北307 徐琴(96023) 星期四5-10节 [1-16] 北307 徐琴(96023) 星期五5-8节 [1-16] 北307
CDH130204,德语（二）,专业基础课,四平路校区,黄鹂(13666077) 星期一5-8节 [1-16] 北320 黄鹂(13666077) 星期四5-10节 [1-16] 北320 黄鹂(13666077) 星期五5-8节 [1-16] 北320
CDH354301,新能源技术,专业必修课,嘉定校区,Martin Thomas Renner(1801055) 星期一3-6节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期三5-8节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期五3-6节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期六3-6节 [2-3] 诚楼C410B
CDH354801,能源互联网与智能电网,专业必修课,嘉定校区,苏灵奇(24154) 星期三1-2节 [7-16] 安楼A402 张永明(14152) 星期三1-2节 [1-6] 安楼A402
CDH231601,建筑CAD与BIM技术,专业基础课,嘉定校区,苏灵奇(24154) 星期四7-8节 [10-16双] 济事楼126 史洁(10067) 星期四7-8节 [2-8双] 济事楼126
CDH341501,建筑电气工程,专业必修课,嘉定校区,张永明(14152) 星期三3-4节 [1-13单] 诚楼C408A 肖辉(92193) 星期三3-4节 [15] 诚楼C408A 肖辉(92193) 星期四3-4节 [15] 诚楼C408A 张永明(14152) 星期四3-4节 [1-14 16] 诚楼C408A
CDH231701,房屋建筑与工程学,专业基础课,嘉定校区,苏灵奇(24154) 星期四9-11节 [9-16] 安楼A402 史洁(10067) 星期四9-11节 [1-8] 安楼A402
CDH360201,机电系统设计开发,实践环节课程,嘉定校区,"王玉(05022),谢楠(09060) 星期五1-6节 [3-12 15-16] 专业实验室 Knut Meißner(2300096) 星期五1-6节 [1-2] 专业实验室 Bernhard Zimmermann(1801051) 星期五1-6节 [13-14] 专业实验室"
