Date,Close/Last,Volume,Open,High,Low
12/09/2024,$252.54,728040,$254.20,$254.83,$251.86
12/06/2024,$254.14,843545,$254.61,$256.13,$253.725
12/05/2024,$255.54,825278,$255.29,$256.13,$253.82
12/04/2024,$253.61,895022,$249.59,$254.72,$248.70
12/03/2024,$243.90,788583,$242.31,$245.02,$242.00
12/02/2024,$241.59,799570,$239.72,$242.24,$238.23
11/29/2024,$237.60,420898,$234.38,$237.93,$234.06
11/27/2024,$232.02,961865,$232.46,$233.228,$231.55
11/26/2024,$235.06,804861,$234.41,$235.135,$233.33
11/25/2024,$233.81,616801,$237.17,$237.23,$233.26
11/22/2024,$236.25,750754,$235.74,$236.76,$234.255
11/21/2024,$236.03,947160,$234.54,$236.65,$233.26
11/20/2024,$235.02,603955,$234.11,$235.03,$231.29
11/19/2024,$233.20,614153,$229.99,$233.69,$229.72
11/18/2024,$231.30,611056,$229.70,$231.57,$229.26
11/15/2024,$228.31,824373,$228.90,$229.37,$227.52
11/14/2024,$231.40,831687,$232.13,$234.24,$231.275
11/13/2024,$230.00,1488511,$231.60,$232.78,$228.43
11/12/2024,$234.47,888077,$235.89,$236.615,$233.14
11/11/2024,$235.86,856107,$237.40,$237.57,$234.62
11/08/2024,$237.56,706553,$239.14,$239.23,$236.74
11/07/2024,$240.19,839816,$236.74,$240.372,$236.69
11/06/2024,$231.30,1821838,$229.88,$231.63,$228.26
11/05/2024,$235.90,836254,$234.08,$236.20,$234.02
11/04/2024,$232.83,416676,$233.04,$233.45,$231.675
11/01/2024,$233.11,745743,$234.80,$235.56,$233.11
10/31/2024,$233.64,890508,$235.95,$235.95,$231.45
10/30/2024,$237.35,820826,$238.70,$240.5599,$237.19
10/29/2024,$242.31,802330,$240.50,$243.01,$240.00
10/28/2024,$240.28,874605,$240.82,$240.99,$239.73
10/25/2024,$237.69,741545,$238.89,$240.08,$237.445
10/24/2024,$238.30,1369560,$237.20,$238.48,$236.32
10/23/2024,$234.59,1099303,$235.12,$236.81,$234.085
10/22/2024,$232.32,2155042,$236.41,$237.72,$231.0903
10/21/2024,$229.48,1525483,$229.87,$230.84,$228.12
10/18/2024,$230.44,654181,$229.70,$231.60,$229.39
10/17/2024,$228.84,576378,$229.71,$229.97,$227.68
10/16/2024,$229.44,917466,$230.08,$230.25,$228.49
10/15/2024,$229.52,1066860,$231.66,$231.86,$227.825
10/14/2024,$231.80,678988,$230.27,$232.23,$230.179
10/11/2024,$228.15,553546,$226.18,$228.63,$225.67
10/10/2024,$224.77,685919,$224.89,$225.4999,$223.70
10/09/2024,$228.90,762731,$225.58,$228.91,$225.54
10/08/2024,$226.63,1102771,$223.76,$226.79,$223.26
10/07/2024,$218.13,803217,$220.41,$220.69,$217.515
10/04/2024,$220.88,955321,$220.31,$221.04,$219.47
10/03/2024,$220.47,756900,$221.53,$221.84,$219.86
10/02/2024,$224.63,534746,$223.59,$225.57,$222.33
10/01/2024,$225.81,731711,$230.63,$230.67,$224.735
09/30/2024,$229.10,488481,$229.60,$229.89,$227.2824
09/27/2024,$228.00,618074,$228.64,$229.68,$227.73
09/26/2024,$228.11,1056964,$229.64,$229.64,$226.66
09/25/2024,$223.29,1305230,$224.96,$225.92,$223.29
09/24/2024,$230.93,572979,$229.92,$231.13,$228.26
09/23/2024,$230.44,374910,$230.47,$230.85,$229.77
09/20/2024,$228.81,577778,$229.18,$229.28,$227.01
09/19/2024,$228.97,784407,$229.14,$230.19,$228.2712
09/18/2024,$221.88,590989,$222.46,$224.05,$221.15
09/17/2024,$222.06,621758,$223.26,$223.51,$221.3423
09/16/2024,$223.60,645964,$223.52,$223.90,$222.3001
09/13/2024,$221.28,549122,$221.20,$222.65,$220.73
09/12/2024,$221.01,562658,$218.46,$221.18,$217.88
09/11/2024,$217.62,732711,$214.82,$217.93,$212.11
09/10/2024,$213.92,1422087,$213.395,$214.56,$210.805
09/09/2024,$213.98,836033,$212.08,$214.535,$211.66
09/06/2024,$211.33,682395,$214.31,$214.81,$210.38
09/05/2024,$212.60,1305020,$212.51,$214.19,$211.92
09/04/2024,$215.43,586936,$213.74,$216.22,$213.41
09/03/2024,$216.49,779674,$220.34,$220.525,$215.52
08/30/2024,$219.71,355957,$218.85,$219.85,$217.59
08/29/2024,$218.78,736358,$219.45,$221.24,$218.25
08/28/2024,$216.93,642894,$218.63,$219.04,$216.59
08/27/2024,$217.83,1007363,$216.55,$218.655,$216.38
08/26/2024,$215.86,1566563,$217.41,$217.79,$215.86
08/23/2024,$219.15,1285335,$218.03,$220.13,$217.46
08/22/2024,$217.25,1449649,$219.68,$220.10,$217.15
08/21/2024,$218.87,471821,$218.82,$219.50,$217.80
08/20/2024,$217.77,567976,$219.18,$220.12,$217.13
08/19/2024,$219.04,558677,$216.16,$219.06,$215.895
08/16/2024,$216.17,546550,$215.63,$217.1025,$215.16
